,Agency,Create Time,Area Id,Beat,Priority,Incident Type Id,Incident Type Description,Event Number,Closed Time,Location 1
3042,OP,2014-01-07T04:16:41,2.0,29X,2,415BF,415 BOYFRIEND,LOP140107000120,2014-01-07T15:12:38,"{'human_address': '{""address"":""MACARTHUR BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3043,OP,2014-01-07T04:17:18,2.0,26Y,1,913TH,SUICIDE THREATS,LOP140107000121,2014-01-07T05:54:40,"{'human_address': '{""address"":""66TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3044,OP,2014-01-07T04:27:32,2.0,23X,2,5150,MENTALLY ILL,LOP140107000124,2014-01-07T04:49:02,"{'human_address': '{""address"":""E 12TH ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3045,OP,2014-01-07T04:29:40,1.0,06X,1,459,BURGLARY,LOP140107000125,2014-01-07T05:59:31,"{'human_address': '{""address"":""MARTIN LUTHER KING JR WY"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3046,OP,2014-01-07T04:32:41,1.0,08X,2,SECCK,SECURITY CHECK,LOP140107000126,2014-01-07T05:11:46,"{'human_address': '{""address"":""VALDEZ ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3047,OP,2014-01-07T04:34:17,2.0,31Y,2,933R,ALARM-RINGER,LOP140107000127,2014-01-07T04:57:38,"{'human_address': '{""address"":""ENTERPRISE WY"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3048,OP,2014-01-07T04:56:57,2.0,35X,1,459,BURGLARY,LOP140107000134,2014-01-07T06:03:38,"{'human_address': '{""address"":""HILLSIDE ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3049,OP,2014-01-07T05:08:02,1.0,15X,2,SLEEP,SLEEPER,LOP140107000135,2014-01-07T06:07:16,"{'human_address': '{""address"":""E 18TH ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3050,OP,2014-01-07T05:08:55,1.0,01X,2,SECCK,SECURITY CHECK,LOP140107000136,2014-01-07T05:50:15,"{'human_address': '{""address"":""2ND ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3051,OP,2014-01-07T05:13:53,1.0,19X,1,242,BATTERY,LOP140107000143,2014-01-07T06:40:13,"{'human_address': '{""address"":""3RD AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3052,OP,2014-01-07T05:18:26,1.0,12X,2,SECCK,SECURITY CHECK,LOP140107000145,2014-01-07T05:46:00,"{'human_address': '{""address"":""42ND ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3053,OP,2014-01-07T05:25:32,1.0,04X,2,MP,MISSING PERSON,LOP140107000147,2014-01-07T10:09:08,"{'human_address': '{""address"":""W GRAND AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3054,OP,2014-01-07T05:29:41,1.0,20X,2,594,VANDALISM,LOP140107000148,2014-01-07T10:08:19,"{'human_address': '{""address"":""FRUITVALE AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3055,OP,2014-01-07T05:30:51,1.0,22Y,2,SECCK,SECURITY CHECK,LOP140107000149,2014-01-07T06:38:44,"{'human_address': '{""address"":""PL&amp;MONTEREY BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3056,OP,2014-01-07T05:48:52,1.0,02Y,1,918,PERSON SCREAMING,LOP140107000155,2014-01-07T06:03:33,"{'human_address': '{""address"":""CHESTER ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3057,OP,2014-01-07T05:55:36,2.0,33X,2,10851,STOLEN VEHICLE,LOP140107000160,2014-01-07T09:03:07,"{'human_address': '{""address"":""B ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3058,OP,2014-01-07T06:01:40,2.0,30X,2,10851,STOLEN VEHICLE,LOP140107000163,2014-01-07T07:37:52,"{'human_address': '{""address"":""70TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3059,OP,2014-01-07T06:03:05,2.0,31Y,2,5150,MENTALLY ILL,LOP140107000164,2014-01-07T07:37:01,"{'human_address': '{""address"":""HEGENBERGER RD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3060,OP,2014-01-07T06:10:25,2.0,23X,2,912,SUSPICIOUS PERSON,LOP140107000166,2014-01-07T06:24:23,"{'human_address': '{""address"":""17TH ST&amp;34TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3061,OP,2014-01-07T06:14:48,2.0,31Z,2,R10851,RECOVERED STOLEN VEH,LOP140107000167,2014-01-07T13:28:18,"{'human_address': '{""address"":""CATRON DR"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3062,OP,2014-01-07T06:29:06,2.0,25X,2,SECCK,SECURITY CHECK,LOP140107000169,2014-01-07T06:56:43,"{'human_address': '{""address"":""MACARTHUR BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3063,OP,2014-01-07T06:39:50,2.0,24X,2,975,STAND BY AND PRESERV,LOP140107000173,2014-01-07T07:29:27,"{'human_address': '{""address"":""AV&amp;CUSTER ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3064,OP,2014-01-07T06:40:33,1.0,17X,2,10851,STOLEN VEHICLE,LOP140107000174,2014-01-07T09:06:34,"{'human_address': '{""address"":""E 19TH ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3065,OP,2014-01-07T06:41:55,1.0,13X,1,WELCK,WELFARE CHECK -- CHE,LOP140107000176,2014-01-07T07:50:26,"{'human_address': '{""address"":""BROADWAY"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3066,OP,2014-01-07T06:51:09,1.0,02Y,2,912,SUSPICIOUS PERSON,LOP140107000178,2014-01-07T07:16:02,"{'human_address': '{""address"":""PERALTA ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3067,OP,2014-01-07T07:13:48,1.0,09X,2,949,SUSPICIOUS VEHICLE,LOP140107000186,2014-01-07T08:18:45,"{'human_address': '{""address"":""BROADWAY"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3068,OP,2014-01-07T07:20:02,2.0,35X,2,SECCK,SECURITY CHECK,LOP140107000188,2014-01-07T08:09:50,"{'human_address': '{""address"":""LAWLOR ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3069,OP,2014-01-07T07:20:51,2.0,31X,2,273_6,VIOLATION OF COURT O,LOP140107000189,2014-01-07T09:29:43,"{'human_address': '{""address"":""EDGEWATER DR"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3070,OP,2014-01-07T07:28:56,1.0,09X,1,941,PERSON DETAINED-IN C,LOP140107000193,2014-01-07T10:56:46,"{'human_address': '{""address"":""41ST ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3071,OP,2014-01-07T07:30:22,1.0,04X,2,415,DISTURBING THE PEACE,LOP140107000196,2014-01-07T07:32:16,"{'human_address': '{""address"":""WILLIAM ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3072,OP,2014-01-07T07:30:34,1.0,04X,2,933R,ALARM-RINGER,LOP140107000195,2014-01-07T07:31:33,"{'human_address': '{""address"":""14TH ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3073,OP,2014-01-07T07:32:23,1.0,04X,2,415,DISTURBING THE PEACE,LOP140107000198,2014-01-07T08:14:09,"{'human_address': '{""address"":""WILLIAM ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3074,OP,2014-01-07T07:39:04,1.0,20X,2,901,VEHICLE COLLISION-DR,LOP140107000201,2014-01-07T13:16:27,"{'human_address': '{""address"":""FRUITVALE AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3075,OP,2014-01-07T07:51:38,2.0,26Y,2,10851,STOLEN VEHICLE,LOP140107000208,2014-01-07T10:16:51,"{'human_address': '{""address"":""76TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3076,OP,2014-01-07T07:58:07,1.0,21Y,2,933R,ALARM-RINGER,LOP140107000211,2014-01-07T08:02:31,"{'human_address': '{""address"":""FRUITVALE AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3077,OP,2014-01-07T08:01:23,2.0,27Y,2,SUSP,SUSPECT,LOP140107000213,2014-01-07T13:12:58,"{'human_address': '{""address"":""16TH ST&amp;61ST AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3078,OP,2014-01-07T08:03:56,1.0,13X,2,HAZ,HAZARDOUS SITUATION/,LOP140107000218,2014-01-07T08:55:44,"{'human_address': '{""address"":""AV&amp;GOLDEN GATE AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3079,OP,2014-01-07T08:04:56,2.0,26Y,2,415TH,415 THREATS,LOP140107000222,2014-01-07T09:21:58,"{'human_address': '{""address"":""69TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3080,OP,2014-01-07T08:05:45,2.0,35X,1,CODE7,SUBJECT ARMED WITH W,LOP140107000219,2014-01-07T14:15:40,"{'human_address': '{""address"":""AV&amp;DOWLING ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3081,OP,2014-01-07T08:11:25,1.0,22X,2,933R,ALARM-RINGER,LOP140107000223,2014-01-07T08:55:37,"{'human_address': '{""address"":""TIFFIN RD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3082,OP,2014-01-07T08:11:34,2.0,31Y,2,10851,STOLEN VEHICLE,LOP140107000224,2014-01-07T11:27:29,"{'human_address': '{""address"":""EDES AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3083,OP,2014-01-07T08:14:21,1.0,10Y,2,415N,DISTURBANCE-NEIGHBOR,LOP140107000227,2014-01-07T09:01:57,"{'human_address': '{""address"":""MARTIN LUTHER KING JR WY"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3084,OP,2014-01-07T08:15:48,2.0,27X,1,415,415 FAMILY,LOP140107000226,2014-01-07T10:54:12,"{'human_address': '{""address"":""YGNACIO AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3085,OP,2014-01-07T08:17:17,1.0,06X,2,955,INJURIED ANIMAL,LOP140107000229,2014-01-07T10:53:42,"{'human_address': '{""address"":""ST&amp;SAN PABLO AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3086,OP,2014-01-07T08:19:48,2.0,,2,900,MISCELLANEOUS/UNKNOW,LOP140107000230,2014-01-07T08:20:06,"{'human_address': '{""address"":""EC REEMS"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3087,OP,2014-01-07T08:22:05,2.0,30Y,2,901CP,VEHICLE COLLISION-CI,LOP140107000233,2014-01-07T15:41:23,"{'human_address': '{""address"":""AV&amp;MACARTHUR BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3088,OP,2014-01-07T08:34:59,2.0,35Y,2,912,SUSPICIOUS PERSON,LOP140107000239,2014-01-07T10:32:46,"{'human_address': '{""address"":""FAIRWAY AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3089,OP,2014-01-07T08:35:11,1.0,21X,2,10851,STOLEN VEHICLE,LOP140107000240,2014-01-07T09:36:50,"{'human_address': '{""address"":""26TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3091,OP,2014-01-07T08:53:17,2.0,30Y,1,211,ROBBERY,LOP140107000256,2014-01-07T10:56:01,"{'human_address': '{""address"":""BANCROFT AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3093,OP,2014-01-07T08:58:43,2.0,23X,2,415TH,415 THREATS,LOP140107000265,2014-01-07T15:03:28,"{'human_address': '{""address"":""AV&amp;SAN LEANDRO ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3094,OP,2014-01-07T08:58:45,1.0,08X,2,SECCK,SECURITY CHECK,LOP140107000257,2014-01-07T09:12:42,"{'human_address': '{""address"":""W MACARTHUR BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3095,OP,2014-01-07T09:08:00,1.0,16Y,2,10851,STOLEN VEHICLE,LOP140107000266,2014-01-07T10:28:39,"{'human_address': '{""address"":""ELBERT ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3096,OP,2014-01-07T09:12:18,1.0,04X,2,911H,911 HANG-UP,LOP140107000271,2014-01-07T09:12:47,"{'human_address': '{""address"":""WEBSTER ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3097,OP,2014-01-07T09:12:38,1.0,08X,2,SECCK,SECURITY CHECK,LOP140107000270,2014-01-07T09:19:53,"{'human_address': '{""address"":""W MACARTHUR BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3098,OP,2014-01-07T09:14:08,1.0,18Y,2,10851,STOLEN VEHICLE,LOP140107000275,2014-01-07T10:10:12,"{'human_address': '{""address"":""E 24TH ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3099,OP,2014-01-07T09:19:48,1.0,08X,2,SECCK,SECURITY CHECK,LOP140107000279,2014-01-07T09:24:30,"{'human_address': '{""address"":""W MACARTHUR BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3100,OP,2014-01-07T09:19:50,1.0,03Y,2,ENCMP,HOMELESS ENCAMPMENT,LOP140107000283,2014-01-07T10:16:48,"{'human_address': '{""address"":""ST&amp;JEFFERSON ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3101,OP,2014-01-07T09:20:09,1.0,07X,1,211S,SILENT ROBBERY ALARM,LOP140107000280,2014-01-07T09:26:37,"{'human_address': '{""address"":""SAN PABLO AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3102,OP,2014-01-07T09:22:03,2.0,30X,1,R10851,RECOVERED STOLEN VEH,LOP140107000288,2014-01-07T11:45:30,"{'human_address': '{""address"":""66TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3103,OP,2014-01-07T09:24:45,1.0,08X,2,SECCK,SECURITY CHECK,LOP140107000287,2014-01-07T09:38:15,"{'human_address': '{""address"":""W MACARTHUR BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3104,OP,2014-01-07T09:26:52,1.0,22Y,2,415N,DISTURBANCE-NEIGHBOR,LOP140107000294,2014-01-07T15:58:50,"{'human_address': '{""address"":""COOLIDGE AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3105,OP,2014-01-07T09:29:13,2.0,32X,2,933S,ALARM-SILENT,LOP140107000296,2014-01-07T10:14:10,"{'human_address': '{""address"":""109TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3106,OP,2014-01-07T09:30:55,2.0,24X,2,160B,VEH PARKED IN SIGNED,LOP140107000300,2014-01-07T17:26:37,"{'human_address': '{""address"":""ROSEDALE AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3107,OP,2014-01-07T09:33:49,2.0,30Y,2,20002,HIT & RUN (PROPERTY,LOP140107000302,2014-01-07T09:34:18,"{'human_address': '{""address"":""73RD AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3108,OP,2014-01-07T09:40:04,1.0,13Y,1,906,FORCED ENTRY IN PROG,LOP140107000310,2014-01-07T11:20:03,"{'human_address': '{""address"":""TUNNEL RD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3109,OP,2014-01-07T09:44:54,2.0,25X,2,911H,911 HANG-UP,LOP140107000315,2014-01-07T10:15:16,"{'human_address': '{""address"":""LEONA ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3110,OP,2014-01-07T09:48:46,2.0,25Y,2,415,DISTURBING THE PEACE,LOP140107000319,2014-01-07T10:52:54,"{'human_address': '{""address"":""SKYLINE BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3111,OP,2014-01-07T09:49:06,1.0,19X,2,10851,STOLEN VEHICLE,LOP140107000320,2014-01-07T10:27:56,"{'human_address': '{""address"":""INTERNATIONAL BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3112,OP,2014-01-07T09:50:35,2.0,26X,2,ASSIST,ASSIST,LOP140107000327,2014-01-07T10:56:54,"{'human_address': '{""address"":""44TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3113,OP,2014-01-07T09:52:58,2.0,30Y,2,911H,911 HANG-UP,LOP140107000326,2014-01-07T15:24:40,"{'human_address': '{""address"":""FOOTHILL BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3114,OP,2014-01-07T09:58:35,2.0,31Z,2,901,VEHICLE COLLISION/PR,LOP140107000330,2014-01-07T11:10:39,"{'human_address': '{""address"":""98TH OFFRP AV&amp;NB I880"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3115,OP,2014-01-07T09:59:11,2.0,34X,2,10851,STOLEN VEHICLE,LOP140107000331,2014-01-07T15:51:34,"{'human_address': '{""address"":""AUSEON AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3116,OP,2014-01-07T09:59:43,2.0,30Y,2,10851,STOLEN VEHICLE,LOP140107000333,2014-01-07T15:59:24,"{'human_address': '{""address"":""MACARTHUR BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3117,OP,2014-01-07T10:01:57,2.0,32X,2,911H,911 HANG-UP,LOP140107000334,2014-01-07T10:34:59,"{'human_address': '{""address"":""98TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3118,OP,2014-01-07T10:05:29,1.0,04X,1,CODE7,SUBJECT ARMED WITH W,LOP140107000335,2014-01-07T10:19:33,"{'human_address': '{""address"":""PABLO AV&amp;THOMAS L. BERKLEY WY"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3119,OP,2014-01-07T10:06:22,1.0,03X,2,647C,OBSTRUCT PERSON'S MO,LOP140107000342,2014-01-07T11:14:29,"{'human_address': '{""address"":""JACKSON ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3120,OP,2014-01-07T10:06:38,1.0,06X,2,ASSIST,ASSIST,LOP140107000339,2014-01-07T11:41:01,"{'human_address': '{""address"":""LUTHER KING JR WY&amp;SYCAMORE ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3121,OP,2014-01-07T10:09:24,1.0,07X,2,955E,ANIMAL BITE,LOP140107000341,2014-01-07T10:51:01,"{'human_address': '{""address"":""MYRTLE ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3122,OP,2014-01-07T10:11:41,1.0,04X,2,911H,911 HANG-UP,LOP140107000346,2014-01-07T10:11:53,"{'human_address': '{""address"":""FRANKLIN ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3123,OP,2014-01-07T10:15:44,1.0,13X,2,911H,911 HANG-UP,LOP140107000350,2014-01-07T11:44:57,"{'human_address': '{""address"":""COUNTRY CLUB DR"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3124,OP,2014-01-07T10:20:19,1.0,06X,2,11500,DRUG DEALING,LOP140107000355,2014-01-07T22:55:11,"{'human_address': '{""address"":""ST&amp;MARTIN LUTHER KING JR WY"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3125,OP,2014-01-07T10:20:44,2.0,27X,2,10851,STOLEN VEHICLE,LOP140107000358,2014-01-07T11:54:37,"{'human_address': '{""address"":""CONGRESS AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3126,OP,2014-01-07T10:20:56,1.0,19X,2,5150,MENTALLY ILL,LOP140107000359,2014-01-07T11:52:56,"{'human_address': '{""address"":""E 12TH ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3127,OP,2014-01-07T10:24:18,1.0,20X,1,243E,BATTERY ON CO-HABITA,LOP140107000362,2014-01-07T11:42:18,"{'human_address': '{""address"":""26TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3128,OP,2014-01-07T10:25:52,2.0,28X,2,933R,ALARM-RINGER,LOP140107000360,2014-01-07T12:47:13,"{'human_address': '{""address"":""BIRDSALL AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3129,OP,2014-01-07T10:26:57,1.0,12X,2,602L,TRESPASS:,LOP140107000363,2014-01-07T11:18:35,"{'human_address': '{""address"":""42ND ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3130,OP,2014-01-07T10:37:43,1.0,21X,1,242,BATTERY,LOP140107000367,2014-01-07T11:33:32,"{'human_address': '{""address"":""GRANDE VISTA AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3131,OP,2014-01-07T10:39:33,2.0,24X,2,415UG,DISTURBANCE-UNWANTED,LOP140107000374,2014-01-07T11:37:11,"{'human_address': '{""address"":""35TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3132,OP,2014-01-07T10:40:07,1.0,07X,2,10851,STOLEN VEHICLE,LOP140107000375,2014-01-07T11:57:25,"{'human_address': '{""address"":""32ND ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3133,OP,2014-01-07T10:40:25,2.0,25X,2,SECCK,SECURITY CHECK,LOP140107000373,2014-01-07T10:59:37,"{'human_address': '{""address"":""JORDAN RD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3135,OP,2014-01-07T10:46:04,2.0,31Y,2,5150,MENTALLY ILL,LOP140107000377,2014-01-07T11:09:00,"{'human_address': '{""address"":""98TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3136,OP,2014-01-07T10:52:48,2.0,30X,2,278,CHILD STEALING,LOP140107000387,2014-01-07T16:21:24,"{'human_address': '{""address"":""72ND AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3137,OP,2014-01-07T10:53:31,2.0,23X,2,23103,RECKLESS DRIVING,LOP140107000385,2014-01-07T11:37:01,"{'human_address': '{""address"":""BLVD&amp;FRUITVALE AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3138,OP,2014-01-07T11:04:52,2.0,33X,2,5150,MENTALLY ILL,LOP140107000400,2014-01-07T14:35:27,"{'human_address': '{""address"":""INTERNATIONAL BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3139,OP,2014-01-07T11:07:58,1.0,22X,2,911H,911 HANG-UP,LOP140107000405,2014-01-07T12:26:40,"{'human_address': '{""address"":""LINCOLN AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3140,OP,2014-01-07T11:08:58,1.0,16Y,2,911H,911 HANG-UP,LOP140107000407,2014-01-07T11:10:16,"{'human_address': '{""address"":""WOODRUFF AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3141,OP,2014-01-07T11:09:01,1.0,18Y,2,459,BURGLARY,LOP140107000409,2014-01-07T14:39:17,"{'human_address': '{""address"":""HIGHLAND AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3142,OP,2014-01-07T11:10:40,1.0,13Y,2,MP,MISSING PERSON,LOP140107000417,2014-01-07T12:40:03,"{'human_address': '{""address"":""DEVON WY"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3143,OP,2014-01-07T11:12:34,1.0,19X,2,10851,STOLEN VEHICLE,LOP140107000414,2014-01-07T13:06:42,"{'human_address': '{""address"":""5TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3144,OP,2014-01-07T11:16:27,1.0,03X,2,415CU,DISTURBANCE-CUSTOMER,LOP140107000420,2014-01-07T12:34:22,"{'human_address': '{""address"":""9TH ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3145,OP,2014-01-07T11:19:08,1.0,19X,2,911H,911 HANG-UP,LOP140107000418,2014-01-07T11:19:21,"{'human_address': '{""address"":""E 8TH ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3146,OP,2014-01-07T11:23:01,2.0,34X,1,913TH,SUICIDE THREATS,LOP140107000421,2014-01-07T12:17:54,"{'human_address': '{""address"":""89TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3147,OP,2014-01-07T11:26:01,2.0,31Y,2,647C,OBSTRUCT PERSON'S MO,LOP140107000428,2014-01-07T13:29:00,"{'human_address': '{""address"":""98TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3149,OP,2014-01-07T11:29:48,2.0,28X,2,910,PROWLER OUTSIDE,LOP140107000434,2014-01-07T12:33:27,"{'human_address': '{""address"":""KINGSLAND AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3150,OP,2014-01-07T11:29:57,2.0,32Y,2,11500,DRUG DEALING,LOP140107000436,2014-01-07T16:14:04,"{'human_address': '{""address"":""103RD AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3151,OP,2014-01-07T11:32:41,1.0,10X,2,933R,ALARM-RINGER,LOP140107000438,2014-01-07T11:57:43,"{'human_address': '{""address"":""64TH ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3152,OP,2014-01-07T11:33:11,1.0,22Y,2,415UG,DISTURBANCE-UNWANTED,LOP140107000440,2014-01-07T15:25:12,"{'human_address': '{""address"":""COOLIDGE AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3153,OP,2014-01-07T11:34:12,2.0,29X,2,SECCK,SECURITY CHECK,LOP140107000441,2014-01-07T11:59:23,"{'human_address': '{""address"":""FOOTHILL BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3154,OP,2014-01-07T11:36:08,1.0,05X,2,SECCK,SECURITY CHECK,LOP140107000444,2014-01-07T11:47:08,"{'human_address': '{""address"":""19TH ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3155,OP,2014-01-07T11:37:21,1.0,02Y,2,11500,DRUG DEALING,LOP140107000448,2014-01-07T11:56:17,"{'human_address': '{""address"":""ST&amp;CHESTER ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3156,OP,2014-01-07T11:39:42,1.0,12X,2,911H,911 HANG-UP,LOP140107000452,2014-01-07T11:41:29,"{'human_address': '{""address"":""BROADWAY"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
